Rank,Tier,Page Path,Title,Organic Sessions,Engagement Rate,Avg Eng Time (s),Affiliate Clicks,Conversions,Priority Score,Duplicate?,Recommended Action
1,1 - Refresh first,/beauty-style/hair/the-best-italian-hair-products-and-secrets-you-need-to-know,The Best Italian Hair Products And Secrets You Need To Know,1642,100%,51,384,11,71.9,YES,KEEP as canonical; redirect duplicate(s) here
2,1 - Refresh first,/beauty-style/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,"I tried a new DIY micro-infusion device, here’s what I thought…",3027,66%,81,269,0,69.1,YES,KEEP as canonical; redirect duplicate(s) here
3,1 - Refresh first,/beauty-style/hair/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,I’ve Got Fine But Frizzy Hair and This Is Exactly What I Use To Look After It,3516,58%,53,292,0,68.4,YES,KEEP as canonical; redirect duplicate(s) here
4,1 - Refresh first,/interviews/founders/the-exact-products-melanie-grant-uses-to-look-flawless,The Exact Products Melanie Grant Uses To Look Flawless,1472,59%,125,343,0,65.2,YES,KEEP as canonical; redirect duplicate(s) here
5,1 - Refresh first,/beauty-style/hair/best-hair-tools-for-fine-hair,Review: The Best Hair Tools for Fine Hair,1952,64%,51,236,0,64.6,YES,KEEP as canonical; redirect duplicate(s) here
6,1 - Refresh first,/how-to/hairstyles/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,I’ve Got Fine But Frizzy Hair and This Is Exactly What I Use To Look After It,2080,57%,53,211,0,63.8,YES,CONSOLIDATE -> redirect to /beauty-style/hair/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it
7,1 - Refresh first,/reviews/luxury-skincare-review,Honest Review: Luxury Skincare Products Worth The Price Tag,1924,63%,61,28,0,62.3,YES,KEEP as canonical; redirect duplicate(s) here
8,1 - Refresh first,/beauty-style/beauty-tips/how-to-choose-the-right-products-for-your-skin,How To Choose The Right Products for your Skin,570,85%,236,4,0,61.8,YES,KEEP as canonical; redirect duplicate(s) here
9,1 - Refresh first,/interviews/tastemakers/riley-minford-the-trans-model-owning-her-beauty,"Riley Minford, The Trans Model Owning Her Beauty",2509,46%,73,8,0,61.6,YES,KEEP as canonical; redirect duplicate(s) here
10,1 - Refresh first,/beauty-style/beauty-tips/i-got-an-under-eye-concealer-tattoo,I Got an Under-eye Concealer Tattoo!,1870,57%,85,11,0,61.6,YES,KEEP as canonical; redirect duplicate(s) here
11,1 - Refresh first,/beauty-style/beauty-tips/cheek-blush-tattoo,Permanent Cheek Blush Tattoo: Everything You Need To Know,748,100%,68,1,0,61.3,YES,KEEP as canonical; redirect duplicate(s) here
12,1 - Refresh first,/who/influencers/riley-minford-the-trans-model-owning-her-beauty,"Riley Minford, The Trans Model Owning Her Beauty",705,100%,54,4,0,60.6,YES,CONSOLIDATE -> redirect to /interviews/tastemakers/riley-minford-the-trans-model-owning-her-beauty
13,1 - Refresh first,/beauty-style/qure-micro-infusion-system-review,Qure Micro-Infusion System Review: Real Reader Results,1717,48%,59,151,0,60.5,,Migrate + preserve metadata
14,1 - Refresh first,/beauty-style/beauty-tips/the-best-italian-pharmacy-buys-you-can-buy-online,The Best Italian Pharmacy Buys (You Can Find Online).,561,100%,61,74,0,60.1,YES,KEEP as canonical; redirect duplicate(s) here
15,1 - Refresh first,/interviews/creatives/sibella-court-interior-stylist-and-author,"Sibella Court, Interior Stylist & Author",1246,54%,85,112,0,59.6,YES,KEEP as canonical; redirect duplicate(s) here
16,2 - Priority migrate,/ask/should-you-apply-fake-tan-on-top-of-an-existing-tan,Can I apply fake tan on top of an existing tan?,2400,40%,32,0,0,59.2,,Migrate + preserve metadata
17,2 - Priority migrate,/interviews/actors-presenters/nathalie-kelley-the-actress-finding-her-purpose-outside-of-hollywood,"Nathalie Kelley, The Actress Finding Her Purpose Outside of Hollywood",1460,50%,85,21,0,59,YES,KEEP as canonical; redirect duplicate(s) here
